id,first_capture
544642,20150301
544785,20150906
544786,20150906
544787,20150906
544788,20150906
544789,20150906
544790,20150906
544791,20150906
544793,20150906
544794,20150906
544795,20150906
544796,20150906
544797,20150906
544798,20150906
545039,20250815
546556,20150915
546557,20150915
546558,20150915
546559,20150915
546560,20150915
546561,20150915
546562,20150915
546563,20150915
546564,20150915
546565,20150915
546566,20150915
546567,20150915
546568,20150915
546574,20150915
546599,20150907
546600,20150907
546601,20150908
546602,20150907
546603,20150907
546626,20150505
547110,20150906
547111,20150906
547112,20150906
547113,20150906
547114,20150906
547115,20150906
547116,20150906
547117,20150906
547789,20150914
547790,20150912
547791,20150912
547792,20150914
547793,20150912
547794,20150912
547795,20150912
547796,20150914
547797,20150914
547798,20150914
547799,20150914
547800,20150914
547801,20150914
547802,20150912
547803,20150914
547804,20150914
547805,20150912
547806,20150914
547807,20150914
547808,20150914
547809,20150914
547810,20150914
547811,20150914
547812,20150912
547813,20150912
547814,20150914
547815,20150912
547816,20150914
547817,20150914
547818,20150912
547819,20150912
547820,20150912
547821,20150912
547822,20150914
547823,20150912
547824,20150912
547825,20150914
547826,20150912
547827,20150912
547828,20150912
547829,20150912
547830,20150912
547831,20150912
547832,20150906
547833,20150906
547834,20150906
547835,20150906
547836,20150906
547837,20150906
547838,20150906
547839,20150906
547840,20150906
547841,20150906
547842,20150906
547843,20150906
547844,20150906
547845,20150906
547846,20150906
547977,20150906
547978,20150906
547979,20150906
547980,20150906
549331,20150309
549332,20150309
549583,20150906
549900,20150318
549901,20150318
549902,20150317
549903,20150318
549983,20150313
550071,20150907
550217,20150911
550218,20150911
550219,20150909
550300,20150910
550301,20150910
550302,20150909
550303,20150909
550304,20150909
550305,20150906
550306,20150906
550307,20150906
550308,20150320
550309,20150320
550310,20150317
550311,20150318
550312,20150320
550313,20150317
550314,20150320
550315,20150320
550316,20150318
550317,20150318
550325,20150324
550326,20150324
550327,20150323
550328,20150324
550329,20150323
550330,20150324
550331,20150323
550332,20150323
550333,20150324
550334,20150324
550335,20150323
550336,20150324
550337,20150324
550338,20150323
